Name,Description,Status,Organization,Last Activity
DeepSeek Model Evaluations,"Evaluated several leading models from DeepSeek, an AI company based in the People's Republic of China",Completed,US AI Safety Institute,2025-12-08
AISIC Workshop,Hosted workshop with approximately 140 experts in January,Completed,US AI Safety Institute,2025-12-08
AI Agent Research,Research on large AI models used to power agentic systems that can automate complex tasks,Active,US AI Safety Institute,2025-12-08
Investigating models for misalignment,"Alignment evaluations of Claude Opus 4.1, Sonnet 4.5, and a pre-release snapshot of Opus 4.5",Active,UK AI Safety Institute,2025-12-08
Mapping the limitations of current AI systems,Expert interviews on barriers to AI capable of automating most cognitive labour,Active,UK AI Safety Institute,2025-12-08
AI Continent Action Plan,Turns EU strengths into AI accelerators to boost economic growth and competitiveness,Active,EU AI Office,2025-12-08
Apply AI Strategy,Enhances competitiveness of strategic sectors and strengthens EU's technological sovereignty,Active,EU AI Office,2025-12-08
GenAI4EU,AI innovation package to support startups and SMEs in developing trustworthy AI,Active,EU AI Office,2025-12-08
Project Fetch,Testing how Claude helps people program robots by having teams race to teach quadruped robots to fetch beach balls,Active,Anthropic,2025-12-08
Constitutional Classifiers,"Classifiers that filter jailbreaks while maintaining practical deployment, withstood over 3,000 hours of red teaming",Active,Anthropic,2025-12-08
Circuit Tracing,"Technique to watch Claude think, uncovering shared conceptual space where reasoning happens before translation to language",Active,Anthropic,2025-12-08
Anthropic Interviewer,"Study of what 1,250 professionals told about working with AI",Active,Anthropic,2025-12-08
Preparedness Framework,"Framework for evaluating frontier risks in biological/chemical capability, cybersecurity, and AI self-improvement",Active,OpenAI Safety,2025-12-08
Red teaming,Internal and external red teaming for safety evaluations,Active,OpenAI Safety,2025-12-08
System cards,Detailed safety documentation for each model release,Active,OpenAI Safety,2025-12-08
Sora safety evaluations,Safety work for video generation model including nonconsensual use and misleading content mitigation,Active,OpenAI Safety,2025-12-08
Operator safety,Safety measures for computer-using agent with web browsing capabilities,Active,OpenAI Safety,2025-12-08
Technical Governance Research,Research exploring technical questions that bear on regulatory and policy goals for AI safety,Active,MIRI,2025-12-08
AI Governance to Avoid Extinction,Research agenda laying out strategic landscape and actionable research questions to reduce catastrophic and extinction risks from AI,Active,MIRI,2025-12-08
AI Evaluations Research,Examining what AI evaluations can and cannot tell us for preventing catastrophic risks,Active,MIRI,2025-12-08
International AI Agreement Verification,Research on mechanisms to verify international agreements about AI development,Active,MIRI,2025-12-08
Corrigibility Research,Research on making AI systems cooperate with corrective interventions and safe shutdown procedures,Completed,MIRI,2025-12-08
Logical Induction,Computable algorithm that assigns probabilities to logical statements and refines them over time,Completed,MIRI,2025-12-08
Parametric Bounded Löb's Theorem,Demonstration that robust cooperative equilibria exist for bounded agents,Completed,MIRI,2025-12-08
AI Control: Improving Risk Despite Intentional Subversion,Proposed protocols for monitoring malign LLM agents and developed methodologies robust against deceptive AI models,Active,Redwood Research,2025-12-08
Alignment Faking in Large Language Models,Demonstrated that Claude sometimes hides misaligned intentions and might fake alignment to resist training attempts,Completed,Redwood Research,2025-12-08
A sketch of an AI control safety case,Partnership with UK AISI to describe how developers can construct structured arguments that models cannot subvert control measures,Completed,Redwood Research,2025-12-08
Theoretical Research,The Theory team is developing an alignment strategy that could be adopted in industry today while scaling gracefully to future ML systems,Active,ARC (Alignment Research Center),2025-12-08
Model Evaluations,Building capability evaluations of frontier machine learning models,Completed,ARC (Alignment Research Center),2025-12-08
LLM Agent Evaluations,"Evaluations of frontier AI systems for strategic deception, evaluation awareness and scheming",Active,Apollo Research,2025-12-08
